Author,Title,English,Original,Domains,Type,Translator,Translated from,Date,Publication type,Author/Editor,Title,In,Published,Volume,Pages
Alexander of Aphrodisias,De Intellectu et Intellecto,On the Intellect,Περὶ νοῦ,"Philosophy, Psychology",Translation,Isḥāq ibn Ḥunayn or Abū ʿUṯmān al-Dimašqī,n/a (literal),between 865 and 920,Article,"Finnegan, James",De Intellectu et Intellecto,Mélanges de l'Université Saint-Joseph,1956,33,181-199
Alexander of Aphrodisias,De Intellectu et Intellecto,On the Intellect,Περὶ νοῦ,"Philosophy, Psychology",Translation,Isḥāq ibn Ḥunayn or Abū ʿUṯmān al-Dimašqī,n/a (literal),between 865 and 920,Book,"Badawī, ʿAbd al-Raḥmān",De Intellectu et Intellecto,Pas d'information trouvé,1971,Pas d'information trouvé,31-42
Alexander of Aphrodisias,De Libero Arbitrio,On Free Will,Τῶν παρὰ Ἀριστοτέλους περὶ τοῦ ἐφ´ ἡμῖν (I),Ethics,Translation,Abū ʿUṯmān al-Dimašqī,Syriac (close),between 870 and 920,Thesis,"Ruland, Hans-Jochen",De Libero Arbitrio,Pas d'information trouvé,1976,Pas d'information trouvé,Pas d'information trouvé
Alexander of Aphrodisias,De Providentia,On Providence,Περὶ προνοίας,Ethics,Translation,Abū Bišr Mattā,Syriac (close),between 900 and 940,Thesis,"Ruland, Hans-Jochen",De Providentia,Pas d'information trouvé,1976,Pas d'information trouvé,Pas d'information trouvé
Alexander of Aphrodisias,De Visu,On Seeing,Πῶς κατὰ Ἀριστοτέλην τὸ ὁρᾶν γίνεται,Natural philosophy,Translation,Isḥāq ibn Ḥunayn,n/a (close),between 865 and 910,Book,"Gätje, Helmut",De Visu,Pas d'information trouvé,1971,11,147-163
Alexander of Aphrodisias,Quaestio I 11a: De Universalibus,Problems and Solutions I 11a: On Universals,Πῶς εἴρηται ἐν τῷ ᾱ Περὶ ψυχῆς· τὸ γὰρ ζῷον τὸ καθόλου ἤτοι οὐδέν ἐστιν ἢ ὕστερον,Philosophy,Translation,"""middle generation"" of translators",Syriac (close),between 800 and 850,Book,"Ruland, Hans-Jochen",Quaestio I 11a: De Universalibus,Pas d'information trouvé,1979a,10,254-259
Alexander of Aphrodisias,Quaestio I 11a: De Universalibus,Problems and Solutions I 11a: On Universals,Πῶς εἴρηται ἐν τῷ ᾱ Περὶ ψυχῆς· τὸ γὰρ ζῷον τὸ καθόλου ἤτοι οὐδέν ἐστιν ἢ ὕστερον,Philosophy,Translation,Abū ʿUṯmān al-Dimašqī,Syriac (close),between 870 and 920,Book,"Ruland, Hans-Jochen",Quaestio I 11a: De Universalibus,Pas d'information trouvé,1979b,10,264-269
Alexander of Aphrodisias,Quaestio I 2: De Colore,Problems and Solutions I 2: On Colour,Περὶ χρώματός τινα,Natural philosophy,Translation,anon.,n/a (paraphrase),between 800 and 850,Book,"Gätje, Helmut",Quaestio I 2: De Colore,Pas d'information trouvé,1967,10,364-375
Alexander of Aphrodisias,Quaestio I 5: De Auctu,Problems and Solutions I 5: On Growth,"Διὰ τί ἡ αὔξησις κατὰ τὸ εἶδος μόνον, ἀλλ' ούχι καὶ κατὰ τὴν ὕλην",Natural philosophy,Translation,“middle generation” of translators,Syriac (paraphrase),between 800 and 850,Book,"Ruland, Hans-Jochen",Quaestio I 5: De Auctu,Pas d'information trouvé,1981,2,62-67
Alexander of Aphrodisias,Quaestio III 3: De Sensu,Problems and Solutions III 3: On Sense Perception,"Λέξεως ἐξήγησις ἐκ τοῦ δευτέρου ὁμοίως Περὶ ψυχῆς, δι´ ἧς περὶ αἰσθήσεως λέγει, ἔστι δὲ ἥδε· «διωρισμένων δὲ τούτων λέγωμεν...»",Natural philosophy,Translation,Ḥunayn workshop,n/a (close),between 825 and 920,Book,"Ruland, Hans-Jochen",Quaestio III 3: De Sensu,Pas d'information trouvé,1978,2,168-195
Apollonius of Perga,Conica,Conics,Κωνικά,Mathematics,Translation,"Ṯābit ibn Qurra, rev. by Aḥmad ibn Mūsā",n/a,between 860 and 901,Book,"Nix, Leo Michael Ludwig",Conica,Pas d'information trouvé,1889,Pas d'information trouvé,4-16
Aristotle,Analytica Posteriora,Posterior Analytics,Ἀναλυτικὰ ὕστερα,Logic,Translation,Abū Bišr Mattā,Syriac (literal),between 900 and 940,Book,"Badawī, ʿAbd al-Raḥmān",Analytica Posteriora,Pas d'information trouvé,1949,7,307-465
Aristotle,Analytica Priora,Prior Analytics,Ἀναλυτικὰ πρότερα,Logic,Translation,Taḏārī ibn Basīl Aḫī Iṣṭifān,n/a (close),between 825 and 875,Book,"Badawī, ʿAbd al-Raḥmān",Analytica Priora,Pas d'information trouvé,1948,7,103-306
Aristotle,Ars Poetica,Poetics,Περὶ ποιητικῆς,Poetics,Translation,Abū Bišr Mattā ibn Yūnus,Syriac (literal),between 900 and 940,Book,"Margoliouth, David Samuel",Ars Poetica,Pas d'information trouvé,1887,Pas d'information trouvé,1-76
